FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 	
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
4	794.598	-986.138	-709.801	545.172	-153.218	-515.761	1543.78	292.312
8	796.567	-985.37	-711.343	545.242	-156.968	-511.825	1543.86	292.099
12	798.913	-984.472	-713.557	545.293	-163.128	-510.245	1543.61	292.888
16	798.171	-984.211	-716.41	545.32	-172.155	-507.849	1541.88	292.142
20	796.275	-984.781	-720.032	545.478	-180.342	-507.579	1542.1	291.371
24	795.801	-984.814	-722.663	543.474	-190.693	-506.436	1542.49	293.453
28	796.413	-983.422	-724.018	543.342	-199.878	-508.161	1544.75	292.98
32	795.873	-982.296	-725.004	544.603	-210.542	-510.494	1547.35	294.039
36	794.195	-981.306	-728.514	548.97	-220.141	-507.805	1549.6	295.081
40	795.744	-977.012	-728.681	555.905	-233.825	-506.548	1550.69	296.653
44	800.069	-971.517	-729.321	563.034	-240.823	-503.819	1555.81	297.237
48	808.458	-960.016	-722.043	580.543	-259.016	-506.048	1555.61	302.351
52	820.911	-943.765	-713.066	597.305	-273.736	-507.535	1556.71	308.811
56	841.146	-923.638	-697.119	623.124	-281.339	-508.528	1558.83	315.327
60	853.932	-902.108	-677.934	647.248	-284.25	-505.91	1567.07	321.623
64	865.68	-877.156	-655.614	668.719	-289.157	-506.06	1573.57	330.197
68	872.17	-850.828	-628.983	685.06	-287.069	-501.155	1575.84	334.181
72	860.45	-800.264	-595.155	698.957	-285.197	-502.642	1572.46	340.955
76	842.46	-736.793	-558.099	712.726	-278.416	-502.148	1586.75	342.163
80	824.044	-675.474	-511.482	718.79	-276.767	-504.091	1599.75	341.793
84	808.031	-629.43	-452.557	722.383	-287.385	-503.448	1606.61	343.242
88	806.514	-605.67	-390.416	717.343	-302.597	-502.013	1612.73	337.555
92	804.776	-573.946	-335.489	718.212	-334.472	-479.866	1611.77	328.328
96	830.391	-600.08	-268.106	708.219	-364.08	-455.77	1621.51	307.138
100	875.338	-687.768	-181.805	696.808	-399.186	-436.321	1625.18	280.29
104	939.194	-830.986	-95.473	683.072	-440.684	-437.531	1630.92	256.027
108	972.42	-868.033	2.28459	683.649	-486.294	-416.943	1708.06	217.522
112	995.837	-899.474	33.1355	715.99	-478.152	-356.72	1738.59	192.853
116	1008.41	-916.971	40.6248	754.535	-435.483	-259.842	1760.85	190.162
120	1008.37	-924.666	85.2144	801.045	-373.763	-123.687	1776.75	199.375
124	1003.95	-934.578	126.332	829.189	-353.779	-55.2821	1800.07	208.667
