FrameNr 	 Person 1 		 Person 2 		 Person 3 		 Person 4 
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
1	1059.57	-532.415	-509.212	95.2337	-582.604	715.255	99.2	928	
2	1060.33	-532.203	-516.843	138.952	-547.958	719.605	72.6154	1010.46	
3	1060.38	-532.09	-517.818	168.395	-460.467	680.312	75.0345	1008.55	
4	1061.07	-531.523	-461.693	-51.8626	-639.771	661.115	73.1429	1010.29	
5	1061.53	-530.879	-510.991	108.722	-573.247	719.409	73.1429	1010.29	
6	1077.52	-505.396	-407.949	-166.195	-664.261	624.825	550.807	-1096.17	
7	1062.94	-529.757	-466.479	-42.2123	-635.423	663.645	68.7407	1013.33	
8	1063.54	-529.006	-500.314	61.1162	-599.808	703.471	68.7407	1013.33	
9	1065.62	-526.621	-422.357	-141.379	-660.714	632.428	68.7407	1013.33	
10	1096.1	-478.891	-302.57	-333.921	-696.494	582.381	580.204	-1105.1	
11	1074.32	-506.876	-472.832	-33.348	-636.353	668.133	547.575	-1092.6	
12	1138.43	-420.331	-237.032	-422.853	-708.825	563.939	625.298	-1100.88	
13	1065.01	-520.157	-349.502	-270.133	-686.713	598.225	532.706	-1093.27	
14	1061.99	-529.237	-187.959	-487.837	-715.1	549.3	80	1005.33	
15	1062.6	-530.376	-170.832	-507.713	-718.773	542.755	76.5217	1010.09	
16	1063.23	-529.427	-210.602	-464.044	-716.042	554.532	68.9231	976	
17	1061.57	-531.436	-290.497	-365.64	-705.983	575.233	71.7241	878.345	
18	1060.27	-530.619	-176.774	-507.646	-723.871	541.507	58.1818	842.182	
19	1058.17	-535.285	-178.384	-508.358	-722.846	542.903	70.9565	847.304	
20	1057.24	-535.935	-180.677	-508.233	-723.484	543.446	62.72	864	
21	1060.36	-530.802	-179.273	-511.542	-723.293	542.778	64	862.72	
22	1069.51	-518.363	-144.669	-545.946	-724.619	541.225	44	724	
23	1062.51	-531.34	-171.875	-524.516	-725.868	541.252	62.72	824.32	
24	1063.37	-521.257	-167.992	-528.399	-725.769	541.616	34.9091	590.546	
25	1056.2	-537.611	-193.597	-507.77	-724.998	541.856	65.2308	795.077	
26	1057.53	-537.341	-195.513	-507.848	-725.643	542.194	69.7143	809.143	
27	1059.24	-535.611	-197.995	-507.482	-726.265	541.722	65.2308	833.231	
28	1064.19	-523.51	-200.551	-509.02	-727.011	541.526	513.964	-1033.82	
29	1085.12	-494.777	-203.906	-509.048	-728.078	540.567	580.455	-1121.97	
30	1140.37	-416.647	-206.067	-508.411	-727.322	541.927	628.551	-1097.47	
31	1223.39	-295.003	-207.959	-510.042	-727.703	542.34	677.018	-1051.97	
32	1230.86	-287.63	-210.625	-510.551	-727.721	542.942	681.331	-1050.08	
33	1327.05	-113.662	-211.406	-508.733	-728.833	543.816	729.849	-1023	
34	1127.58	-432.067	-213.389	-508.694	-731.601	543.391	620.236	-1100.52	
35	1071.83	-511.868	-214.945	-508.336	-730.961	544.874	544.772	-1064.87	
36	1089.98	-481.694	-220.141	-507.805	-732.282	546.623	589.862	-1132.37	
37	1128.45	-429.945	-224.993	-507.673	-732.063	547.397	620.138	-1100.14	
38	1077.14	-502.282	-225.753	-510.364	-732.11	547.849	549.734	-1057.38	
39	1260.16	-230.364	-229.231	-506.512	-732.502	551.365	699.08	-1038.16	
40	1102.33	-461.889	-93.3233	-610.694	-732.949	553.22	-32	1056	
41	1145.2	-402.101	4.15163	-667.972	-733.321	554.927	0	0	
42	1218.28	-296.668	123.275	-720.62	-733.705	550.574	-32	1077.33	
43	1173.41	-371.991	48.1207	-688.004	-735.4	556.453	-16	1066.67	
44	1126.97	-436.945	-41.5119	-641.816	-733.015	555.57	-12.8	1070.93	
45	1136.92	-427.876	13.0868	-669.816	-712.808	497.313	18.2857	1059.43	
46	1227.04	-300.27	139.193	-727.363	-726.875	554.777	14.7692	1062.15	
47	1197.59	-330.543	110.227	-718.302	-722.482	549.504	-32	1078.86	
48	1198.68	-333.704	108.875	-718.187	-720.647	550.036	-14.2222	1077.33	
49	1257.4	-253.178	276.715	-783.601	-680.996	436.924	-69.9535	980.093	
50	1223.34	-304.204	232.852	-770.241	-679.189	442.091	18.2857	1062.4	
51	1356.38	-61.5614	393.56	-808.937	-678.155	444.76	-9.73913	1078.26	
52	1470.96	130.77	381.571	-783.148	-709.057	548.881	36.48	1063.04	
53	1433.99	56.2702	424.163	-804.555	-679.666	473.323	38.2857	1064.57	
54	1465.13	200.857	496.652	-814.869	-662.7	429.14	0	0	
55	1514.3	280.573	507.588	-808.599	-666.248	455.209	-14.8571	1096	
56	1520.47	296.922	462.174	-786.673	-683.488	527.838	-13.8667	1095.47	
57	1516	335.93	527.322	-802.502	-657.499	463.288	0	0	
58	1521	263.415	493.793	-792.399	-661.348	483.283	17.1852	1062.52	
59	1502.24	305.855	521.918	-796.11	-649.13	463.238	-53.3333	1057.78	
60	1503.74	335.719	494.335	-779.25	-658.703	511.723	-216	1200	
61	1502.72	347.073	577.726	-803.21	-627.666	421.084	-337.333	905.333	
62	1492.11	321.334	511.905	-779.376	-644.014	491.228	32	64	
63	1494.7	348.09	579.435	-792.829	-618.93	429.71	32	64	
64	1484.51	344.097	583.309	-790.568	-614.559	424.665	-192	1084.24	
65	1490.74	363.017	565.226	-779.495	-615.62	445.502	-164.267	1034.67	
66	1466.73	300.978	593.686	-788.81	-600.077	413.781	0	0	
67	1476.89	354.363	664.612	-798.365	-578.403	353.532	-180.923	1020.31	
68	1480.79	310.121	694.366	-806.741	-563.47	329.893	-168.702	999.579	
69	1459.07	350.894	665.963	-788.786	-566.656	361.026	-163.048	924.191	
70	1462.02	341.67	724.72	-799.148	-542.426	309.783	-145.349	976.193	
71	1430.31	285.754	756.36	-811.398	-525.039	288.68	-137.644	928	
