FrameNr Person 1 		 Person 2 		 Person 3 		 Person 4 
	 x 	 y   	   x 	 y   	   x 	 y   	   x 	 y   
1	1059.57	-532.415	-9.6072	-359.802	-546.98	204.332	85.3333	347.022	
2	1060.33	-532.203	-605.254	682.672	-496.331	38.2783	80.4103	541.539	
3	1060.38	-532.09	-550.229	666.086	-514.108	103.526	83.3333	446	
4	1060.62	-532.181	-291.949	256.294	-534.501	170.641	80.3902	564.293	
5	1061.53	-530.879	-595.313	680.557	-499.447	47.8172	80.3902	564.293	
6	1068.33	-520.358	-487.233	577.87	-524.558	127.661	334.739	-647.952	
7	1063.71	-528.67	-569.621	683.98	-513.674	92.3395	121.347	-114.376	
8	1072.81	-515.353	-594.393	686.774	-506.651	59.2876	335.665	-695.698	
9	1072.12	-514.925	-587.637	680.292	-509.13	62.998	303.69	-655.999	
10	1083.45	-502.459	-616.177	668.965	-491.382	4.82577	439.123	-858.731	
11	1074.71	-511.915	-628.19	660.705	-478.801	-27.5202	454.03	-863.691	
12	1091.3	-485.655	-527.236	637.576	-527.458	119.991	453.605	-944.755	
13	1068.64	-524.012	-28.4082	-354.558	-556.665	207.721	373.041	-631.89	
14	1071.58	-519.853	-5.95569	-447.244	-565.425	219.23	408.196	-713.951	
15	1067.91	-521.705	-23.0668	-468.195	-583.585	242.909	438.369	-713.631	
16	1064.58	-527.578	-148.379	-63.7835	-550.682	183.742	233.143	-33.1429	
17	1064.66	-526.544	-254.382	142.337	-550.626	170.516	268.377	-400	
18	1060.56	-527.691	-28.8937	-378.429	-564.918	204.59	209.333	-249.333	
19	1063.96	-529.365	-17.3499	-453.637	-576.744	224.721	382.804	-559.85	
